Fecha,Hora,Turno,Boquilla,Peso (g)
2024-11-04,06:42,mañana,16,16.8667
2024-11-04,06:48,mañana,1,15.9007
2024-11-04,06:54,mañana,2,15.9157
2024-11-04,07:00,mañana,3,16.1256
2024-11-04,07:06,mañana,4,15.4958
2024-11-04,07:12,mañana,5,16.2697
2024-11-04,07:18,mañana,6,16.6063
2024-11-04,07:24,mañana,7,16.3561
2024-11-04,07:30,mañana,8,15.7544
2024-11-04,07:36,mañana,9,15.5245
2024-11-04,07:42,mañana,10,16.4075
2024-11-04,07:48,mañana,11,16.5802
2024-11-04,07:54,mañana,12,16.7511
2024-11-04,08:00,mañana,13,16.2307
2024-11-04,08:06,mañana,14,15.7007
2024-11-04,08:12,mañana,15,16.398
2024-11-04,08:18,mañana,16,16.0093
2024-11-04,08:24,mañana,1,15.7019
2024-11-04,08:30,mañana,2,16.7461
2024-11-04,08:36,mañana,3,15.6959
2024-11-04,08:42,mañana,4,16.6527
2024-11-04,08:48,mañana,5,15.9382
2024-11-04,08:54,mañana,6,16.4643
2024-11-04,09:00,mañana,7,16.5558
2024-11-04,09:06,mañana,8,16.5689
2024-11-04,09:12,mañana,9,16.1349
2024-11-04,09:18,mañana,10,16.588
2024-11-04,09:24,mañana,11,15.6969
2024-11-04,09:30,mañana,12,15.5781
2024-11-04,09:36,mañana,13,15.9588
2024-11-04,09:42,mañana,14,16.537
2024-11-04,09:48,mañana,15,16.4614
2024-11-04,09:54,mañana,16,16.4224
2024-11-04,14:00,tarde,1,16.7723
2024-11-04,14:06,tarde,2,16.2877
2024-11-04,14:12,tarde,3,16.8693
2024-11-04,14:18,tarde,4,16.2815
2024-11-04,14:24,tarde,5,16.1601
2024-11-04,14:30,tarde,6,16.7359
2024-11-04,14:36,tarde,7,16.3426
2024-11-04,14:42,tarde,8,16.1228
2024-11-04,14:48,tarde,9,16.5729
2024-11-04,14:54,tarde,10,16.8474
2024-11-04,15:00,tarde,11,16.5377
2024-11-04,15:06,tarde,12,16.2974
2024-11-04,15:12,tarde,13,16.6295
2024-11-04,15:18,tarde,14,17.1072
2024-11-04,15:24,tarde,15,16.3287
2024-11-04,15:30,tarde,16,16.7817
2024-11-04,15:36,tarde,1,16.3642
2024-11-04,15:42,tarde,2,16.5264
2024-11-04,15:48,tarde,3,16.8774
2024-11-04,15:54,tarde,4,16.5184
2024-11-04,16:00,tarde,5,16.7752
2024-11-04,16:06,tarde,6,16.6303
2024-11-04,16:12,tarde,7,16.6658
2024-11-04,16:18,tarde,8,16.8596
2024-11-04,16:24,tarde,9,17.2025
2024-11-04,16:30,tarde,10,16.1568
2024-11-04,16:36,tarde,11,16.3317
2024-11-04,16:42,tarde,12,16.7708
2024-11-04,16:48,tarde,13,17.7501
2024-11-04,16:54,tarde,14,16.8821
2024-11-04,17:00,tarde,15,17.2984
2024-11-04,17:06,tarde,16,16.1495
2024-11-04,17:12,tarde,1,16.5766
2024-11-04,17:18,tarde,2,17.3128
2024-11-04,17:24,tarde,3,17.2396
2024-11-04,17:30,tarde,4,16.6851
2024-11-04,17:36,tarde,5,16.744
2024-11-04,17:42,tarde,6,16.7648
2024-11-04,17:48,tarde,7,17.0299
2024-11-04,17:54,tarde,8,16.9141
2024-11-04,14:00,tarde,9,16.7648
2024-11-04,14:06,tarde,10,17.0281
2024-11-04,14:12,tarde,11,17.812
2024-11-04,14:18,tarde,12,16.3223
2024-11-04,14:24,tarde,13,16.4753
2024-11-04,14:30,tarde,14,16.477
2024-11-04,14:36,tarde,15,16.653
2024-11-04,14:42,tarde,16,16.4885
2024-11-04,14:48,tarde,1,15.8616
2024-11-04,14:54,tarde,2,16.8431
2024-11-04,15:00,tarde,3,16.4286
2024-11-04,15:06,tarde,4,16.0183
2024-11-04,15:12,tarde,5,16.1997
2024-11-04,15:18,tarde,6,16.2322
2024-11-04,15:24,tarde,7,16.1687
2024-11-04,15:30,tarde,8,16.4934
2024-11-04,15:36,tarde,9,17.0773
2024-11-04,15:42,tarde,10,16.7875
2024-11-04,15:48,tarde,11,16.5152
2024-11-04,15:54,tarde,12,17.1979
2024-11-04,16:00,tarde,13,16.4447
2024-11-04,16:06,tarde,14,16.4864
2024-11-04,16:12,tarde,15,16.3542
2024-11-04,16:18,tarde,16,16.5763
2024-11-04,16:24,tarde,1,16.8583
2024-11-04,16:30,tarde,2,16.1096
2024-11-04,16:36,tarde,3,16.3875
2024-11-04,16:42,tarde,4,17.441
2024-11-04,16:48,tarde,5,16.2828
2024-11-04,16:54,tarde,6,16.7678
2024-11-04,17:00,tarde,7,16.5905
2024-11-04,17:06,tarde,8,16.6541
2024-11-04,17:12,tarde,9,16.5769
2024-11-04,17:18,tarde,10,16.4117
2024-11-04,17:24,tarde,11,16.7223
2024-11-04,17:30,tarde,12,16.713
2024-11-04,17:36,tarde,13,16.9861
2024-11-04,17:42,tarde,14,17.5257
2024-11-04,17:48,tarde,15,16.544
2024-11-04,17:54,tarde,16,17.2281
2024-11-04,14:00,tarde,1,17.2476
2024-11-04,14:06,tarde,2,16.7448
2024-11-04,14:12,tarde,3,16.2489
2024-11-04,14:18,tarde,4,16.7188
2024-11-04,14:24,tarde,5,16.1216
2024-11-04,14:30,tarde,6,16.5965
2024-11-04,14:36,tarde,7,16.3626
2024-11-04,14:42,tarde,8,16.9324
2024-11-04,14:48,tarde,9,16.7128
2024-11-04,14:54,tarde,10,15.9465
2024-11-04,15:00,tarde,11,16.8218
2024-11-04,15:06,tarde,12,16.9854
2024-11-04,15:12,tarde,13,15.9162
2024-11-04,15:18,tarde,14,16.9561
2024-11-04,15:24,tarde,15,15.866
2024-11-04,15:30,tarde,16,16.4277
2024-11-04,15:36,tarde,1,16.6249
2024-11-04,15:42,tarde,2,16.7222
2024-11-04,15:48,tarde,3,16.6071
2024-11-04,15:54,tarde,4,17.1203
2024-11-04,16:00,tarde,5,16.9534
2024-11-04,16:06,tarde,6,16.6989
2024-11-04,16:12,tarde,7,16.8628
2024-11-04,16:18,tarde,8,16.2673
2024-11-04,16:24,tarde,9,16.64
2024-11-04,16:30,tarde,10,16.5358
2024-11-04,16:36,tarde,11,17.1614
2024-11-04,16:42,tarde,12,16.5717
2024-11-04,16:48,tarde,13,16.9033
2024-11-04,16:54,tarde,14,16.5119
2024-11-04,17:00,tarde,15,16.1751
2024-11-04,17:06,tarde,16,16.8399
2024-11-04,17:12,tarde,1,16.8438
2024-11-04,17:18,tarde,2,16.5601
2024-11-04,17:24,tarde,3,15.7439
2024-11-04,17:30,tarde,4,16.3044
2024-11-04,17:36,tarde,5,17.1201
2024-11-04,17:42,tarde,6,16.9369
2024-11-04,17:48,tarde,7,16.9219
2024-11-04,17:54,tarde,8,16.8721
2024-11-04,14:00,tarde,9,16.6914
2024-11-04,14:06,tarde,10,16.7233
2024-11-04,14:12,tarde,11,17.1176
2024-11-04,14:18,tarde,12,16.3137
2024-11-04,14:24,tarde,13,17.1192
2024-11-04,14:30,tarde,14,16.8549
2024-11-04,14:36,tarde,15,16.2708
2024-11-04,14:42,tarde,16,16.7341
2024-11-04,14:48,tarde,1,16.84
2024-11-04,14:54,tarde,2,16.6332
2024-11-04,15:00,tarde,3,16.4274
2024-11-04,15:06,tarde,4,16.1844
2024-11-04,15:12,tarde,5,16.2792
2024-11-04,15:18,tarde,6,16.5202
2024-11-04,15:24,tarde,7,16.3392
2024-11-04,15:30,tarde,8,17.0461
2024-11-04,15:36,tarde,9,16.7203
2024-11-04,15:42,tarde,10,16.0687
2024-11-04,15:48,tarde,11,16.8375
2024-11-04,15:54,tarde,12,16.781
2024-11-04,16:00,tarde,13,16.7038
2024-11-04,16:06,tarde,14,16.8092
2024-11-04,16:12,tarde,15,16.932
2024-11-04,16:18,tarde,16,16.9156
2024-11-04,16:24,tarde,1,16.9945
2024-11-04,16:30,tarde,2,16.9563
2024-11-04,16:36,tarde,3,16.915
2024-11-04,16:42,tarde,4,16.8395
2024-11-04,16:48,tarde,5,16.528
2024-11-04,16:54,tarde,6,16.7843
2024-11-04,17:00,tarde,7,16.7715
2024-11-04,17:06,tarde,8,16.1193
2024-11-04,17:12,tarde,9,16.2961
2024-11-04,17:18,tarde,10,16.1273
2024-11-04,17:24,tarde,11,16.3862
2024-11-04,17:30,tarde,12,16.9298
2024-11-04,17:36,tarde,13,16.7551
2024-11-04,17:42,tarde,14,16.3629
2024-11-04,17:48,tarde,15,16.6414
2024-11-04,17:54,tarde,16,16.6429
2024-11-04,22:00,noche,1,15.5197
2024-11-04,22:06,noche,2,15.386
2024-11-04,22:12,noche,3,15.6075
2024-11-04,22:18,noche,4,15.8708
2024-11-04,22:24,noche,5,15.691
2024-11-04,22:30,noche,6,15.8823
2024-11-04,22:36,noche,7,16.2529
2024-11-04,22:42,noche,8,15.982
2024-11-04,22:48,noche,9,16.0239
2024-11-04,22:54,noche,10,15.4485
2024-11-04,23:00,noche,11,16.2633
2024-11-04,23:06,noche,12,15.6869
2024-11-04,23:12,noche,13,15.7866
2024-11-04,23:18,noche,14,14.8291
2024-11-04,23:24,noche,15,15.4339
2024-11-04,23:30,noche,16,15.7393
2024-11-04,23:36,noche,1,15.3614
2024-11-04,23:42,noche,2,15.53
2024-11-04,23:48,noche,3,15.4741
2024-11-04,23:54,noche,4,16.2159
2024-11-04,00:00,noche,5,15.5053
2024-11-04,00:06,noche,6,15.3306
2024-11-04,00:12,noche,7,15.8156
2024-11-04,00:18,noche,8,15.3597
2024-11-04,00:24,noche,9,16.0583
2024-11-04,00:30,noche,10,15.3146
2024-11-04,00:36,noche,11,15.7645
2024-11-04,00:42,noche,12,15.3853
2024-11-04,00:48,noche,13,15.7322
2024-11-04,00:54,noche,14,15.9958
2024-11-04,01:00,noche,15,15.5086
2024-11-04,01:06,noche,16,16.2015
2024-11-04,01:12,noche,1,16.2173
2024-11-04,01:18,noche,2,15.6466
2024-11-04,01:24,noche,3,15.7797
2024-11-04,01:30,noche,4,15.4005
2024-11-04,01:36,noche,5,16.335
2024-11-04,01:42,noche,6,16.362
2024-11-04,01:48,noche,7,15.9307
2024-11-04,01:54,noche,8,16.2034
2024-11-04,22:00,noche,9,15.7882
2024-11-04,22:06,noche,10,15.569
2024-11-04,22:12,noche,11,16.0881
2024-11-04,22:18,noche,12,15.052
2024-11-04,22:24,noche,13,15.435
2024-11-04,22:30,noche,14,15.6577
2024-11-04,22:36,noche,15,14.9684
2024-11-04,22:42,noche,16,15.9325
2024-11-04,22:48,noche,1,15.9361
2024-11-04,22:54,noche,2,15.5904
2024-11-04,23:00,noche,3,15.6306
2024-11-04,23:06,noche,4,15.4144
2024-11-04,23:12,noche,5,15.6814
2024-11-04,23:18,noche,6,15.5076
2024-11-04,23:24,noche,7,15.9391
2024-11-04,23:30,noche,8,15.6064
2024-11-04,23:36,noche,9,15.9956
2024-11-04,23:42,noche,10,14.7329
2024-11-04,23:48,noche,11,15.232
2024-11-04,23:54,noche,12,15.6192
2024-11-04,00:00,noche,13,16.7613
2024-11-04,00:06,noche,14,15.1993
2024-11-04,00:12,noche,15,16.4477
2024-11-04,00:18,noche,16,15.8379
2024-11-04,00:24,noche,1,16.1544
2024-11-04,00:30,noche,2,15.4848
2024-11-04,00:36,noche,3,15.8494
2024-11-04,00:42,noche,4,15.7118
2024-11-04,00:48,noche,5,15.4842
2024-11-04,00:54,noche,6,15.5259
2024-11-04,01:00,noche,7,15.6812
2024-11-04,01:06,noche,8,15.8628
2024-11-04,01:12,noche,9,15.8353
2024-11-04,01:18,noche,10,15.3568
2024-11-04,01:24,noche,11,15.8109
2024-11-04,01:30,noche,12,15.6342
2024-11-04,01:36,noche,13,15.0501
2024-11-04,01:42,noche,14,16.195
2024-11-04,01:48,noche,15,15.8107
2024-11-04,01:54,noche,16,15.8356
2024-11-04,22:00,noche,1,15.9369
2024-11-04,22:06,noche,2,15.6119
2024-11-04,22:12,noche,3,15.3851
2024-11-04,22:18,noche,4,15.7133
2024-11-04,22:24,noche,5,15.5155
2024-11-04,22:30,noche,6,15.9582
2024-11-04,22:36,noche,7,15.4296
2024-11-04,22:42,noche,8,16.0453
2024-11-04,22:48,noche,9,15.1328
2024-11-04,22:54,noche,10,15.8785
2024-11-04,23:00,noche,11,15.6625
2024-11-04,23:06,noche,12,15.9479
2024-11-04,23:12,noche,13,15.9782
2024-11-04,23:18,noche,14,15.6523
2024-11-04,23:24,noche,15,15.9238
2024-11-04,23:30,noche,16,15.7779
2024-11-04,23:36,noche,1,16.4128
2024-11-04,23:42,noche,2,15.5299
2024-11-04,23:48,noche,3,15.6545
2024-11-04,23:54,noche,4,15.9075
2024-11-04,00:00,noche,5,15.9993
2024-11-04,00:06,noche,6,15.2844
2024-11-04,00:12,noche,7,15.1494
2024-11-04,00:18,noche,8,16.1212
2024-11-04,00:24,noche,9,15.5099
2024-11-04,00:30,noche,10,15.4601
2024-11-04,00:36,noche,11,15.6291
2024-11-04,00:42,noche,12,15.3841
2024-11-04,00:48,noche,13,15.3197
2024-11-04,00:54,noche,14,15.9281
2024-11-04,01:00,noche,15,15.4963
2024-11-04,01:06,noche,16,15.6912
2024-11-04,01:12,noche,1,15.1967
2024-11-04,01:18,noche,2,15.5287
2024-11-04,01:24,noche,3,15.8408
2024-11-04,01:30,noche,4,15.2045
2024-11-04,01:36,noche,5,15.5748
2024-11-04,01:42,noche,6,15.6074
2024-11-04,01:48,noche,7,15.9021
2024-11-04,01:54,noche,8,15.6977
2024-11-04,22:00,noche,9,15.4204
2024-11-04,22:06,noche,10,16.0556
2024-11-04,22:12,noche,11,15.4923
2024-11-04,22:18,noche,12,15.0968
2024-11-04,22:24,noche,13,15.6784
2024-11-04,22:30,noche,14,15.5611
2024-11-04,22:36,noche,15,15.8389
2024-11-04,22:42,noche,16,15.6075
2024-11-04,22:48,noche,1,15.8103
2024-11-04,22:54,noche,2,15.1222
2024-11-04,23:00,noche,3,15.5339
2024-11-04,23:06,noche,4,15.7814
2024-11-04,23:12,noche,5,15.4306
2024-11-04,23:18,noche,6,15.9994
2024-11-04,23:24,noche,7,15.1319
2024-11-04,23:30,noche,8,15.7678
2024-11-04,23:36,noche,9,15.5475
2024-11-04,23:42,noche,10,15.4838
2024-11-04,23:48,noche,11,15.7979
2024-11-04,23:54,noche,12,15.5942
2024-11-04,00:00,noche,13,15.5668
2024-11-04,00:06,noche,14,16.1479
2024-11-04,00:12,noche,15,16.2246
2024-11-04,00:18,noche,16,15.3717
2024-11-04,00:24,noche,1,15.6068
2024-11-04,00:30,noche,2,15.3154
2024-11-04,00:36,noche,3,15.2703
2024-11-04,00:42,noche,4,15.8794
2024-11-04,00:48,noche,5,15.6851
2024-11-04,00:54,noche,6,15.9043
2024-11-04,01:00,noche,7,15.3696
2024-11-04,01:06,noche,8,15.9658
2024-11-04,01:12,noche,9,15.6917
2024-11-04,01:18,noche,10,15.3179
2024-11-04,01:24,noche,11,15.479
2024-11-04,01:30,noche,12,16.3252
2024-11-04,01:36,noche,13,15.8317
2024-11-04,01:42,noche,14,16.0483
2024-11-04,01:48,noche,15,15.6477
2024-11-04,01:54,noche,16,15.2256
2024-11-05,06:00,mañana,1,16.7593
2024-11-05,06:06,mañana,2,16.5314
2024-11-05,06:12,mañana,3,16.5204
2024-11-05,06:18,mañana,4,16.406
2024-11-05,06:24,mañana,5,16.4683
2024-11-05,06:30,mañana,6,16.5127
2024-11-05,06:36,mañana,7,15.7124
2024-11-05,06:42,mañana,8,16.9429
2024-11-05,06:48,mañana,9,16.6655
2024-11-05,06:54,mañana,10,16.0967
2024-11-05,07:00,mañana,11,16.3559
2024-11-05,07:06,mañana,12,15.7735
2024-11-05,07:12,mañana,13,16.3433
2024-11-05,07:18,mañana,14,16.4717
2024-11-05,07:24,mañana,15,16.7264
2024-11-05,07:30,mañana,16,16.3479
2024-11-05,07:36,mañana,1,16.2584
2024-11-05,07:42,mañana,2,16.2214
2024-11-05,07:48,mañana,3,16.3435
2024-11-05,07:54,mañana,4,16.2283
2024-11-05,08:00,mañana,5,16.5381
2024-11-05,08:06,mañana,6,16.4473
2024-11-05,08:12,mañana,7,16.4131
2024-11-05,08:18,mañana,8,16.3851
2024-11-05,08:24,mañana,9,17.0139
2024-11-05,08:30,mañana,10,15.9457
2024-11-05,08:36,mañana,11,16.6905
2024-11-05,08:42,mañana,12,15.8753
2024-11-05,08:48,mañana,13,17.4793
2024-11-05,08:54,mañana,14,16.1885
2024-11-05,09:00,mañana,15,16.3317
2024-11-05,09:06,mañana,16,16.4241
2024-11-05,09:12,mañana,1,16.5312
2024-11-05,09:18,mañana,2,15.9698
2024-11-05,09:24,mañana,3,16.9303
2024-11-05,09:30,mañana,4,16.2888
2024-11-05,09:36,mañana,5,16.5091
2024-11-05,09:42,mañana,6,17.0261
2024-11-05,09:48,mañana,7,16.0615
2024-11-05,09:54,mañana,8,16.8033
2024-11-05,06:00,mañana,9,16.9643
2024-11-05,06:06,mañana,10,16.5542
2024-11-05,06:12,mañana,11,16.1735
2024-11-05,06:18,mañana,12,17.1343
2024-11-05,06:24,mañana,13,16.8185
2024-11-05,06:30,mañana,14,16.1911
2024-11-05,06:36,mañana,15,16.3592
2024-11-05,06:42,mañana,16,16.686
2024-11-05,06:48,mañana,1,16.5816
2024-11-05,06:54,mañana,2,16.1326
2024-11-05,07:00,mañana,3,16.2686
2024-11-05,07:06,mañana,4,16.7985
2024-11-05,07:12,mañana,5,16.5997
2024-11-05,07:18,mañana,6,15.5648
2024-11-05,07:24,mañana,7,17.2823
2024-11-05,07:30,mañana,8,16.4715
2024-11-05,07:36,mañana,9,16.2581
2024-11-05,07:42,mañana,10,16.3226
2024-11-05,07:48,mañana,11,16.6087
2024-11-05,07:54,mañana,12,16.0672
2024-11-05,08:00,mañana,13,16.3475
2024-11-05,08:06,mañana,14,16.673
2024-11-05,08:12,mañana,15,16.6881
2024-11-05,08:18,mañana,16,16.1377
2024-11-05,08:24,mañana,1,16.4507
2024-11-05,08:30,mañana,2,16.6524
2024-11-05,08:36,mañana,3,16.303
2024-11-05,08:42,mañana,4,17.0638
2024-11-05,08:48,mañana,5,16.7876
2024-11-05,08:54,mañana,6,16.0973
2024-11-05,09:00,mañana,7,16.249
2024-11-05,09:06,mañana,8,16.0558
2024-11-05,09:12,mañana,9,16.4484
2024-11-05,09:18,mañana,10,16.4399
2024-11-05,09:24,mañana,11,16.393
2024-11-05,09:30,mañana,12,16.3934
2024-11-05,09:36,mañana,13,16.453
2024-11-05,09:42,mañana,14,15.9493
2024-11-05,09:48,mañana,15,17.1198
2024-11-05,09:54,mañana,16,16.1543
2024-11-05,06:00,mañana,1,16.4874
2024-11-05,06:06,mañana,2,15.9019
2024-11-05,06:12,mañana,3,16.6266
2024-11-05,06:18,mañana,4,16.2116
2024-11-05,06:24,mañana,5,16.3704
2024-11-05,06:30,mañana,6,16.6392
2024-11-05,06:36,mañana,7,16.3017
2024-11-05,06:42,mañana,8,16.7668
2024-11-05,06:48,mañana,9,16.6431
2024-11-05,06:54,mañana,10,16.6452
2024-11-05,07:00,mañana,11,16.5256
2024-11-05,07:06,mañana,12,16.865
2024-11-05,07:12,mañana,13,16.2219
2024-11-05,07:18,mañana,14,16.6933
2024-11-05,07:24,mañana,15,15.8272
2024-11-05,07:30,mañana,16,16.8766
2024-11-05,07:36,mañana,1,16.6983
2024-11-05,07:42,mañana,2,16.0185
2024-11-05,07:48,mañana,3,16.4529
2024-11-05,07:54,mañana,4,16.6149
2024-11-05,08:00,mañana,5,16.5128
2024-11-05,08:06,mañana,6,16.2345
2024-11-05,08:12,mañana,7,16.315
2024-11-05,08:18,mañana,8,16.6403
2024-11-05,08:24,mañana,9,16.2676
2024-11-05,08:30,mañana,10,16.4036
2024-11-05,08:36,mañana,11,16.5938
2024-11-05,08:42,mañana,12,16.0998
2024-11-05,08:48,mañana,13,16.222
2024-11-05,08:54,mañana,14,15.5579
2024-11-05,09:00,mañana,15,16.03
2024-11-05,09:06,mañana,16,15.5719
2024-11-05,09:12,mañana,1,16.4965
2024-11-05,09:18,mañana,2,16.7846
2024-11-05,09:24,mañana,3,16.0969
2024-11-05,09:30,mañana,4,16.1547
2024-11-05,09:36,mañana,5,15.5455
2024-11-05,09:42,mañana,6,16.4894
2024-11-05,09:48,mañana,7,16.107
2024-11-05,09:54,mañana,8,16.1245
2024-11-05,06:00,mañana,9,16.365
2024-11-05,06:06,mañana,10,16.1252
2024-11-05,06:12,mañana,11,16.4708
2024-11-05,06:18,mañana,12,16.3751
2024-11-05,06:24,mañana,13,16.315
2024-11-05,06:30,mañana,14,16.6485
2024-11-05,06:36,mañana,15,16.3403
2024-11-05,06:42,mañana,16,15.8443
2024-11-05,06:48,mañana,1,16.7467
2024-11-05,06:54,mañana,2,16.5825
2024-11-05,07:00,mañana,3,16.444
2024-11-05,07:06,mañana,4,15.9854
2024-11-05,07:12,mañana,5,16.0618
2024-11-05,07:18,mañana,6,16.3559
2024-11-05,07:24,mañana,7,16.5436
2024-11-05,07:30,mañana,8,15.8105
2024-11-05,07:36,mañana,9,17.1196
2024-11-05,07:42,mañana,10,16.1086
2024-11-05,07:48,mañana,11,16.5172
2024-11-05,07:54,mañana,12,16.413
2024-11-05,08:00,mañana,13,16.9049
2024-11-05,08:06,mañana,14,16.0878
2024-11-05,08:12,mañana,15,16.0114
2024-11-05,08:18,mañana,16,16.1468
2024-11-05,08:24,mañana,1,15.8052
2024-11-05,08:30,mañana,2,16.8779
2024-11-05,08:36,mañana,3,16.6727
2024-11-05,08:42,mañana,4,16.3087
2024-11-05,08:48,mañana,5,16.132
2024-11-05,08:54,mañana,6,16.8183
2024-11-05,09:00,mañana,7,16.76
2024-11-05,09:06,mañana,8,16.0408
2024-11-05,09:12,mañana,9,16.5734
2024-11-05,09:18,mañana,10,16.3909
2024-11-05,09:24,mañana,11,16.0026
2024-11-05,09:30,mañana,12,16.3371
2024-11-05,09:36,mañana,13,16.3757
2024-11-05,09:42,mañana,14,16.6952
2024-11-05,09:48,mañana,15,16.505
2024-11-05,09:54,mañana,16,15.8253
2024-11-05,14:00,tarde,1,16.418
2024-11-05,14:06,tarde,2,16.7294
2024-11-05,14:12,tarde,3,16.1772
