Fecha,Hora,Turno,Historical_Weight_g,Temperatura (°C),Viscosidad (mPa.s),Presión (bar),% Reproceso,Etapa,Optimized_Weight_g
2025-05-08,05:19,noche,20.4025,15.28,2146,8.0,7,Depositado,16.027730647427468
2025-05-08,06:28,noche,20.6604,15.89,2033,8.0,4,Depositado,15.712251605644424
2025-05-09,06:18,mañana,19.9586,14.06,2241,7.5,1,Depositado,16.09392450458642
2025-05-09,07:22,mañana,20.3234,15.74,2019,7.5,3,Depositado,15.8498403275203
2025-05-09,08:35,mañana,20.1433,19.76,1585,5.0,1,Depositado,15.927076562551681
2025-05-09,09:55,mañana,20.6404,18.16,1852,8.0,8,Depositado,15.84957334694265
2025-05-09,10:41,mañana,20.5508,20.38,1571,6.5,4,Depositado,16.463069546127233
2025-05-09,11:57,mañana,20.5219,22.24,1410,5.5,6,Depositado,15.996625693815517
2025-05-09,12:55,mañana,20.2186,26.83,1118,5.0,7,Depositado,15.735572267761025
2025-05-09,13:50,mañana,19.8526,25.2,1140,4.5,4,Depositado,16.205636228025796
2025-05-09,14:01,mañana,21.7865,24.96,1194,5.0,6,Depositado,15.694789087507244
2025-05-09,14:16,tarde,22.447,26.41,1052,4.0,2,Depositado,16.05221589875119
2025-05-09,15:14,tarde,21.7855,24.29,1375,7.0,12,Depositado,15.510082469030056
2025-05-09,16:32,tarde,21.8609,24.45,1215,4.5,2,Depositado,15.667953487775392
2025-05-09,17:01,tarde,23.3486,23.79,1274,4.5,3,Depositado,16.04921530896728
2025-05-09,18:38,tarde,22.1065,22.77,1335,4.5,2,Depositado,16.18461664499885
2025-05-09,19:34,tarde,21.8869,21.41,1449,5.5,2,Depositado,16.042842070297493
2025-05-09,20:37,tarde,20.5378,21.19,1522,7.0,6,Depositado,15.97108792940294
2025-05-09,21:38,tarde,22.7723,21.1,1432,5.0,2,Depositado,15.924724076102677
2025-05-09,22:30,tarde,22.4503,19.69,1602,6.5,3,Depositado,15.630369502408143
2025-05-09,22:21,noche,20.6751,21.25,1598,8.0,11,Depositado,15.820038947901322
2025-05-09,23:45,noche,20.7022,19.63,1660,7.0,5,Depositado,15.884840307260053
2025-05-09,00:37,noche,20.7743,20.46,1657,8.0,10,Depositado,16.26428055655473
2025-05-09,01:57,noche,20.8542,19.14,1677,7.5,5,Depositado,16.085904572392117
2025-05-09,02:57,noche,20.2668,16.56,2099,8.0,15,Depositado,15.559239961159317
2025-05-09,03:28,noche,20.1168,17.79,1919,8.0,9,Depositado,16.081020992348698
2025-05-09,04:27,noche,20.0384,16.37,1946,7.0,2,Depositado,15.903729429895922
2025-05-09,05:12,noche,20.306,17.52,1937,8.0,10,Depositado,15.83076949992351
2025-05-09,06:40,noche,20.9494,16.15,2093,8.0,12,Depositado,16.152919072210217
2025-05-12,06:10,mañana,21.0771,15.48,2058,8.0,3,Depositado,16.257749880623987
2025-05-12,07:33,mañana,21.2591,18.31,1769,6.5,5,Depositado,16.23282002977905
2025-05-12,08:01,mañana,20.1545,19.5,1646,7.0,6,Depositado,15.790195619194341
2025-05-12,09:41,mañana,20.7466,20.47,1524,6.5,4,Depositado,15.922696906037196
2025-05-12,10:41,mañana,21.256,21.86,1508,7.5,8,Depositado,16.082815857850893
2025-05-12,11:17,mañana,21.1392,21.56,1549,7.5,9,Depositado,16.24388628178059
2025-05-12,12:54,mañana,19.0643,23.99,1257,5.0,5,Depositado,15.880206440538677
2025-05-12,13:02,mañana,21.4781,24.73,1279,6.0,8,Depositado,15.953585255834046
2025-05-12,14:26,mañana,19.7097,26.33,1168,5.5,9,Depositado,15.723416256498492
2025-05-12,14:02,tarde,22.1483,25.04,1184,4.0,1,Depositado,15.700948343979832
2025-05-12,15:00,tarde,20.9455,23.86,1235,4.0,2,Depositado,16.203131455598548
2025-05-12,16:02,tarde,22.0428,24.71,1269,6.0,7,Depositado,16.339060007142706
2025-05-12,17:32,tarde,22.6977,24.27,1201,4.0,1,Depositado,15.981997469604917
2025-05-12,18:41,tarde,21.715,23.17,1282,4.5,2,Depositado,16.250883224473007
2025-05-12,19:09,tarde,22.9992,19.53,1630,6.5,4,Depositado,16.090409006261908
2025-05-12,20:24,tarde,22.8207,20.97,1547,7.0,7,Depositado,15.838720061348718
2025-05-12,21:20,tarde,22.4856,19.84,1644,7.0,6,Depositado,16.090348901377105
2025-05-12,22:32,tarde,22.5117,19.84,1784,8.0,15,Depositado,16.38450914161649
2025-05-12,22:49,noche,20.3361,20.09,1575,6.0,2,Depositado,15.991043490222513
2025-05-12,23:03,noche,19.602,16.86,1931,7.5,4,Depositado,16.391160913953502
2025-05-12,00:30,noche,19.8159,20.26,1665,8.0,11,Depositado,15.345063723977564
2025-05-12,01:21,noche,20.633,18.33,1712,5.5,0,Depositado,16.205475626093804
2025-05-12,02:42,noche,20.6827,19.86,1635,7.5,7,Depositado,16.021761767059544
2025-05-12,03:09,noche,21.2423,18.31,1731,6.0,2,Depositado,15.925248162383532
2025-05-12,04:55,noche,19.9847,15.93,1928,6.5,0,Depositado,16.022940194133877
2025-05-12,05:09,noche,20.5541,15.74,1963,7.0,1,Depositado,15.503107771349777
2025-05-12,06:33,noche,20.7731,15.69,1983,7.0,1,Depositado,15.945082028040622
2025-05-13,06:38,mañana,20.2403,16.7,2017,8.0,7,Depositado,16.089278142877937
2025-05-13,07:18,mañana,20.5537,15.55,2018,7.5,1,Depositado,16.36947351118538
2025-05-13,08:35,mañana,21.0006,18.52,1719,7.0,3,Depositado,15.870432445431588
2025-05-13,09:25,mañana,19.7516,18.54,1717,7.0,4,Depositado,15.797876599276703
2025-05-13,10:18,mañana,19.8752,22.94,1354,5.5,4,Depositado,15.874560739103865
2025-05-13,11:37,mañana,20.7583,21.89,1422,6.0,5,Depositado,16.228850529425518
2025-05-13,12:46,mañana,20.3822,23.93,1309,5.5,4,Depositado,16.082187777414923
2025-05-13,13:00,mañana,19.4735,23.43,1341,5.5,5,Depositado,15.86755994905824
2025-05-13,14:07,mañana,20.8652,26.01,1073,4.0,1,Depositado,16.12831685827834
2025-05-13,14:26,tarde,21.2053,25.18,1119,4.0,1,Depositado,16.02426938733701
2025-05-13,15:49,tarde,23.0497,23.71,1309,5.0,5,Depositado,16.242161247633224
2025-05-13,16:26,tarde,22.6518,24.28,1192,4.5,1,Depositado,15.824486726530662
2025-05-13,17:00,tarde,22.097,22.95,1458,8.0,12,Depositado,15.918084463350558
2025-05-13,18:32,tarde,23.0386,22.51,1290,4.5,0,Depositado,15.901972961716961
2025-05-13,19:53,tarde,21.8835,21.88,1441,6.5,7,Depositado,15.634121262966971
2025-05-13,20:20,tarde,21.6889,22.06,1378,4.5,1,Depositado,16.074030069266144
2025-05-13,21:08,tarde,21.57,19.31,1627,6.0,3,Depositado,16.065263818044972
2025-05-13,22:33,tarde,21.419,20.02,1639,7.0,6,Depositado,16.001278364160616
2025-05-13,22:19,noche,20.8786,20.91,1536,6.5,5,Depositado,15.941353216656212
2025-05-13,23:35,noche,20.416,20.59,1531,6.5,4,Depositado,15.646157314487397
2025-05-13,00:47,noche,20.5475,20.68,1570,7.0,7,Depositado,15.89483866930866
2025-05-13,01:08,noche,19.5419,16.12,1906,6.0,1,Depositado,15.914321370868308
2025-05-13,02:02,noche,20.8865,18.62,1662,5.5,1,Depositado,15.799430682694595
2025-05-13,03:53,noche,20.654,17.16,1878,6.5,3,Depositado,15.959678572083497
2025-05-13,04:41,noche,20.7319,16.16,1953,7.0,3,Depositado,16.101012714203634
2025-05-13,05:33,noche,19.8473,15.61,1966,7.0,1,Depositado,16.47154647530263
2025-05-13,06:46,noche,20.6612,17.37,1805,6.5,2,Depositado,16.04364445320796
2025-05-14,06:11,mañana,20.8982,16.31,2024,8.0,7,Depositado,16.064387597680692
2025-05-14,07:09,mañana,19.1506,14.38,2189,7.5,1,Depositado,15.981388521058458
2025-05-14,08:29,mañana,20.5114,20.5,1497,5.5,1,Depositado,15.52030719617524
2025-05-14,09:00,mañana,19.83,18.8,1745,6.5,4,Depositado,15.993371531137695
2025-05-14,10:08,mañana,20.8086,21.82,1449,5.5,4,Depositado,16.015057552485256
2025-05-14,11:19,mañana,21.4926,21.27,1411,5.0,0,Depositado,16.615810528121322
2025-05-14,12:18,mañana,19.7794,24.77,1243,5.0,6,Depositado,15.95190975880472
2025-05-14,13:44,mañana,21.4775,25.11,1234,5.0,7,Depositado,16.0753868355834
2025-05-14,14:34,mañana,20.6194,26.18,1160,5.5,7,Depositado,15.991322057573688
2025-05-14,14:35,tarde,21.9994,24.53,1193,4.5,1,Depositado,15.707830490595118
2025-05-14,15:09,tarde,22.5928,26.1,1193,6.0,10,Depositado,16.285705703628754
2025-05-14,16:13,tarde,22.1829,25.29,1216,5.5,7,Depositado,16.187983258171695
2025-05-14,17:21,tarde,22.727,22.91,1356,6.0,5,Depositado,16.197757986760763
2025-05-14,18:31,tarde,21.1346,23.62,1466,8.0,15,Depositado,15.772653136301315
2025-05-14,19:38,tarde,22.9247,22.19,1427,7.0,9,Depositado,16.350698577734025
2025-05-14,20:52,tarde,22.5008,20.67,1528,5.5,4,Depositado,15.64953723430193
2025-05-14,21:12,tarde,24.1294,22.01,1483,6.5,8,Depositado,16.14671427345007
2025-05-14,22:58,tarde,21.9586,20.11,1710,8.0,13,Depositado,16.547613906452494
2025-05-14,22:46,noche,19.5266,20.57,1572,6.0,5,Depositado,15.752365918717327
2025-05-14,23:07,noche,20.3078,19.51,1732,7.5,9,Depositado,15.858425567599307
2025-05-14,00:03,noche,19.2763,19.16,1659,6.0,2,Depositado,16.02491284127191
2025-05-14,01:28,noche,20.7518,16.92,1889,7.5,3,Depositado,15.87413108647095
2025-05-14,02:06,noche,19.9842,16.29,1938,6.5,1,Depositado,15.612334142233466
2025-05-14,03:59,noche,20.1646,14.31,2239,8.0,6,Depositado,16.017140743701507
2025-05-14,04:27,noche,20.5258,17.37,1972,8.0,11,Depositado,15.734424071568474
2025-05-14,05:09,noche,20.2212,16.48,1929,7.0,3,Depositado,16.118398107658795
2025-05-14,06:43,noche,19.8897,15.3,2058,7.0,1,Depositado,15.77014394144155
2025-05-15,06:06,mañana,21.1911,17.6,1918,8.0,11,Depositado,16.387483601254385
2025-05-15,07:19,mañana,21.3618,16.39,2045,8.0,10,Depositado,15.804186676915942
2025-05-15,08:14,mañana,20.6075,18.65,1741,6.5,5,Depositado,15.91948462094858
2025-05-15,09:05,mañana,20.8497,21.28,1443,5.0,3,Depositado,16.203379304342416
2025-05-15,10:28,mañana,20.6801,21.84,1429,5.5,3,Depositado,15.69228392089151
2025-05-15,11:31,mañana,20.8526,20.47,1479,6.0,4,Depositado,16.05686498365103
2025-05-15,12:31,mañana,21.7173,23.07,1319,4.5,1,Depositado,16.326785688570606
2025-05-15,13:03,mañana,20.7141,26.21,1143,5.5,7,Depositado,15.598129191359693
2025-05-15,14:45,mañana,20.2693,24.73,1174,4.0,0,Depositado,16.046158464633077
2025-05-15,14:47,tarde,21.7129,26.61,1057,4.0,3,Depositado,16.064970698562107
2025-05-15,15:37,tarde,21.7837,25.93,1140,4.5,4,Depositado,16.195455717944327
2025-05-15,16:59,tarde,23.7813,24.55,1365,7.5,12,Depositado,15.690762322280479
2025-05-15,17:26,tarde,22.5911,23.91,1231,4.5,1,Depositado,15.669885846728931
2025-05-15,18:24,tarde,21.8453,23.11,1355,5.5,5,Depositado,16.130485391404225
2025-05-15,19:20,tarde,21.4939,21.69,1407,5.5,2,Depositado,16.074246168308296
2025-05-15,20:10,tarde,22.4104,21.05,1523,6.5,5,Depositado,16.06262321258647
2025-05-15,21:07,tarde,23.0783,18.81,1724,7.0,5,Depositado,16.086612052374242
2025-05-15,22:31,tarde,21.9775,19.94,1570,6.0,2,Depositado,15.829993819605377
2025-05-15,22:23,noche,20.1111,19.87,1621,6.5,4,Depositado,16.05806342429025
2025-05-15,23:48,noche,20.6501,19.45,1685,7.5,6,Depositado,16.07326811832467
2025-05-15,00:14,noche,20.7187,20.8,1552,6.0,4,Depositado,15.821412145493408
2025-05-15,01:18,noche,20.2009,18.75,1675,6.5,2,Depositado,16.466443627786187
2025-05-15,02:15,noche,20.1909,17.2,1994,8.0,10,Depositado,16.118458230227947
2025-05-15,03:36,noche,21.97,16.2,1977,7.0,3,Depositado,15.702174125699338
2025-05-15,04:06,noche,20.5006,17.54,1791,6.5,1,Depositado,16.164138402158457
2025-05-15,05:28,noche,19.6983,15.19,2196,8.0,9,Depositado,15.75632958244317
2025-05-15,06:53,noche,20.6603,16.56,1933,8.0,4,Depositado,16.196771150935614
2025-05-16,06:06,mañana,20.636,17.08,1882,6.5,2,Depositado,16.289648894751853
2025-05-16,07:05,mañana,21.4316,16.9,1867,7.5,3,Depositado,15.794829420412073
2025-05-16,08:23,mañana,20.3369,19.5,1607,5.5,2,Depositado,16.24084403231108
2025-05-16,09:19,mañana,20.3674,20.4,1523,5.5,3,Depositado,16.103195231734123
2025-05-16,10:05,mañana,20.2277,20.68,1584,6.0,5,Depositado,16.205515039998623
2025-05-16,11:26,mañana,20.322,19.95,1586,6.0,4,Depositado,16.474198245663487
2025-05-16,12:32,mañana,19.0597,23.58,1299,5.0,4,Depositado,15.938652970999282
2025-05-16,13:44,mañana,20.1635,22.77,1404,5.5,6,Depositado,15.811565958910627
2025-05-16,14:09,mañana,20.6039,26.95,1075,4.5,5,Depositado,15.77762139259362
2025-05-16,14:10,tarde,21.4516,27.03,1083,4.5,7,Depositado,15.79604742875864
2025-05-16,15:15,tarde,22.14,23.86,1479,8.0,15,Depositado,15.980724572646475
2025-05-16,16:44,tarde,21.5713,22.89,1364,6.0,5,Depositado,16.08528799370416
2025-05-16,17:45,tarde,21.7336,23.16,1374,6.0,8,Depositado,16.069172699832503
2025-05-16,18:16,tarde,22.9104,23.0,1324,5.0,3,Depositado,16.206795812259006
2025-05-16,19:28,tarde,20.9111,25.17,1137,4.0,2,Depositado,16.003250472969476
2025-05-16,20:03,tarde,21.1053,21.41,1443,5.5,3,Depositado,16.36338351928933
2025-05-16,21:31,tarde,20.0095,21.61,1420,5.5,2,Depositado,15.93383579169051
2025-05-16,22:21,tarde,22.6004,16.98,1882,6.5,1,Depositado,16.680042291647403
2025-05-16,22:08,noche,20.8432,19.65,1631,6.5,5,Depositado,16.15641683694125
2025-05-16,23:59,noche,19.8235,18.27,1734,6.0,2,Depositado,15.78571061089593
2025-05-16,00:28,noche,21.3812,19.89,1586,5.5,1,Depositado,15.732276875484722
2025-05-16,01:07,noche,20.6556,18.81,1761,8.0,8,Depositado,16.120618103810795
2025-05-16,02:46,noche,20.1264,19.84,1631,6.5,5,Depositado,15.944134303668537
2025-05-16,03:19,noche,20.5469,18.09,1741,6.5,2,Depositado,16.178500123523023
2025-05-16,04:51,noche,21.0476,16.61,1895,7.5,2,Depositado,16.118309406143386
2025-05-16,05:12,noche,20.2688,18.05,1838,8.0,8,Depositado,15.981792771835782
2025-05-16,06:58,noche,19.1821,16.65,1977,8.0,7,Depositado,15.788301570482899
2025-05-19,06:00,mañana,20.2601,14.95,2084,7.0,0,Depositado,15.621288193828534
2025-05-19,07:59,mañana,20.6846,18.03,1780,7.0,4,Depositado,15.888371261983245
2025-05-19,08:22,mañana,20.4646,18.07,1745,6.5,3,Depositado,16.214099698580867
2025-05-19,09:34,mañana,20.2006,18.14,1801,8.0,6,Depositado,16.053523436032552
2025-05-19,10:22,mañana,20.1169,20.04,1552,6.0,3,Depositado,15.688565305322003
2025-05-19,11:04,mañana,21.0902,23.99,1216,4.0,0,Depositado,16.043295231462796
2025-05-19,12:17,mañana,20.828,22.5,1335,4.5,3,Depositado,16.096329344932208
2025-05-19,13:57,mañana,20.8859,23.39,1260,4.5,3,Depositado,15.779035640949717
2025-05-19,14:31,mañana,22.2744,26.5,1168,5.5,8,Depositado,16.03843127648638
2025-05-19,14:53,tarde,23.0965,25.66,1082,4.0,0,Depositado,16.0145521796115
2025-05-19,15:38,tarde,21.3217,25.31,1306,7.5,13,Depositado,15.714257425542344
2025-05-19,16:16,tarde,21.7251,26.36,1068,4.0,2,Depositado,16.08944684008707
2025-05-19,17:03,tarde,20.6226,23.27,1269,4.0,1,Depositado,16.14019613159206
2025-05-19,18:40,tarde,22.7773,22.71,1454,7.5,10,Depositado,16.27076281079382
2025-05-19,19:52,tarde,21.6908,23.51,1216,4.5,2,Depositado,16.263450513008724
2025-05-19,20:11,tarde,22.8486,21.74,1470,7.0,7,Depositado,15.655582658010728
2025-05-19,21:23,tarde,22.7133,19.81,1760,8.0,13,Depositado,15.765543740021219
2025-05-19,22:02,tarde,22.1445,19.6,1591,6.0,2,Depositado,16.128758816802165
2025-05-19,22:14,noche,21.6561,20.35,1667,8.0,8,Depositado,16.128446487728052
2025-05-19,23:07,noche,20.2997,20.38,1580,6.0,4,Depositado,16.128761921576512
2025-05-19,00:20,noche,21.0977,19.11,1698,7.0,5,Depositado,16.96318287266368
2025-05-19,01:48,noche,19.5377,19.55,1754,8.0,13,Depositado,16.14272262767329
2025-05-19,02:13,noche,21.168,18.13,1703,6.5,3,Depositado,16.28389141004515
2025-05-19,03:55,noche,21.668,16.81,1885,6.5,2,Depositado,16.2385004408733
2025-05-19,04:25,noche,20.5709,18.0,1844,8.0,8,Depositado,16.16284781282645
2025-05-19,05:44,noche,20.7719,17.59,1895,8.0,8,Depositado,15.921182688839913
2025-05-19,06:46,noche,20.5117,16.26,1975,7.5,3,Depositado,16.189742305123318
2025-05-20,06:02,mañana,19.909,14.0,2322,8.0,8,Depositado,15.806793696365608
2025-05-20,07:44,mañana,20.0891,15.31,2151,8.0,5,Depositado,15.940795348314998
2025-05-20,08:16,mañana,19.9513,19.25,1642,6.0,2,Depositado,15.878659113042724
2025-05-20,09:11,mañana,20.2624,19.49,1616,5.5,2,Depositado,16.020468534846582
2025-05-20,10:42,mañana,21.1207,19.9,1671,7.5,8,Depositado,16.57866464166838
2025-05-20,11:33,mañana,20.2355,20.91,1525,5.5,3,Depositado,15.533183701852064
2025-05-20,12:20,mañana,20.7659,21.78,1442,5.5,4,Depositado,16.171565047593628
2025-05-20,13:23,mañana,21.4317,24.07,1237,5.0,2,Depositado,15.596821032202588
2025-05-20,14:37,mañana,20.6053,23.56,1460,8.0,15,Depositado,15.882017033552641
2025-05-20,14:38,tarde,22.6852,27.7,924,4.0,0,Depositado,16.27223764924184
2025-05-20,15:45,tarde,21.7237,25.72,1179,5.0,5,Depositado,16.016070004773866
2025-05-20,16:33,tarde,21.8167,24.88,1233,5.5,6,Depositado,15.730563805517674
2025-05-20,17:59,tarde,22.0678,24.47,1174,4.5,1,Depositado,15.821174072685007
2025-05-20,18:33,tarde,21.2717,21.99,1409,5.0,2,Depositado,16.16989943723367
2025-05-20,19:17,tarde,22.1106,20.67,1481,5.0,2,Depositado,15.817408342070715
2025-05-20,20:40,tarde,20.9605,21.37,1489,6.5,5,Depositado,16.054114647395494
2025-05-20,21:34,tarde,21.4208,19.22,1620,6.0,1,Depositado,16.011392959975954
2025-05-20,22:34,tarde,21.1544,17.06,1841,6.5,2,Depositado,15.837099913098546
2025-05-20,22:31,noche,21.5727,19.68,1616,6.5,3,Depositado,16.535986022331333
2025-05-20,23:38,noche,20.1266,18.61,1724,6.0,2,Depositado,16.158479755579503
2025-05-20,00:24,noche,20.5136,19.54,1690,7.5,8,Depositado,15.493714353335598
2025-05-20,01:27,noche,19.3668,18.52,1778,7.0,6,Depositado,16.046613578692355
2025-05-20,02:37,noche,20.5025,17.8,1842,7.0,5,Depositado,15.834553383807902
2025-05-20,03:23,noche,19.7891,16.76,1886,7.0,1,Depositado,16.213108333699054
2025-05-20,04:05,noche,21.1223,17.1,1908,7.5,4,Depositado,15.801869815391825
2025-05-20,05:37,noche,20.2825,16.36,1994,8.0,5,Depositado,15.971315889633276
2025-05-20,06:25,noche,19.2685,14.84,2310,8.0,13,Depositado,16.126246819745113
2025-05-21,06:07,mañana,19.5942,16.49,1977,8.0,6,Depositado,16.21643879854253
2025-05-21,07:20,mañana,20.2969,16.37,2061,8.0,7,Depositado,15.699925898236057
2025-05-21,08:47,mañana,20.8192,20.77,1500,6.0,2,Depositado,15.916374691039763
2025-05-21,09:30,mañana,19.7455,18.56,1757,7.5,5,Depositado,15.88126367220976
2025-05-21,10:47,mañana,19.9218,22.05,1442,6.0,6,Depositado,15.836667691856572
2025-05-21,11:19,mañana,20.2382,22.79,1318,4.5,2,Depositado,16.441363560070275
2025-05-21,12:33,mañana,20.2379,23.82,1262,5.0,3,Depositado,16.10124542774024
2025-05-21,13:17,mañana,19.6997,24.75,1149,4.0,2,Depositado,15.68477901141624
2025-05-21,14:12,mañana,20.3054,25.7,1215,5.5,8,Depositado,16.229465486763694
2025-05-21,14:03,tarde,22.6388,26.71,1161,6.5,12,Depositado,16.530539049253157
2025-05-21,15:38,tarde,22.0258,24.94,1198,4.0,3,Depositado,16.258116315137787
2025-05-21,16:22,tarde,22.2267,26.83,1015,4.0,1,Depositado,15.620157508511497
2025-05-21,17:04,tarde,22.4992,23.66,1264,5.0,4,Depositado,15.878941481783437
2025-05-21,18:04,tarde,21.4275,22.42,1417,6.0,4,Depositado,16.316727787296657
2025-05-21,19:10,tarde,21.7211,21.23,1461,5.5,3,Depositado,15.823082633595305
2025-05-21,20:06,tarde,20.9472,21.82,1456,5.5,3,Depositado,16.110954857036557
2025-05-21,21:17,tarde,21.6397,19.26,1748,8.0,11,Depositado,16.193658513357335
2025-05-21,22:59,tarde,22.0458,21.23,1479,6.0,4,Depositado,15.76826738210548
2025-05-21,22:13,noche,19.9816,22.15,1397,6.0,5,Depositado,15.98511866098455
2025-05-21,23:59,noche,21.2662,20.21,1541,6.0,3,Depositado,15.189683164982732
2025-05-21,00:44,noche,20.2148,18.77,1687,5.5,1,Depositado,15.743903089666427
2025-05-21,01:38,noche,19.8369,16.96,1850,6.0,1,Depositado,15.93685796215171
2025-05-21,02:25,noche,20.3904,17.62,1810,6.5,3,Depositado,15.688054204508788
2025-05-21,03:09,noche,19.4827,17.88,1822,7.5,4,Depositado,16.40810282598291
2025-05-21,04:13,noche,21.1071,17.21,1835,7.0,2,Depositado,15.642464655509842
2025-05-21,05:06,noche,19.7312,14.82,2194,8.0,5,Depositado,15.889988878325754
2025-05-21,06:31,noche,20.6709,17.14,1985,8.0,12,Depositado,16.032685144321523
2025-05-22,06:57,mañana,20.3898,15.4,2070,8.0,3,Depositado,16.36031832226653
2025-05-22,07:16,mañana,19.4576,17.8,1796,6.5,3,Depositado,15.64103446220514
2025-05-22,08:59,mañana,20.0896,16.89,1917,7.5,5,Depositado,16.29079093803874
2025-05-22,09:26,mañana,20.2713,19.73,1585,5.5,1,Depositado,16.002558265254898
2025-05-22,10:01,mañana,21.1565,20.34,1572,6.5,6,Depositado,15.754622837238012
2025-05-22,11:50,mañana,20.6058,22.59,1357,5.0,2,Depositado,16.11552586856582
2025-05-22,12:53,mañana,20.8854,22.62,1335,5.0,3,Depositado,16.049764923893367
2025-05-22,13:12,mañana,20.1744,27.19,1101,4.5,6,Depositado,15.849945780710302
2025-05-22,14:21,mañana,20.9532,24.58,1215,5.0,3,Depositado,16.017450521247504
2025-05-22,14:01,tarde,21.5894,26.27,1160,5.5,10,Depositado,15.90367160078456
2025-05-22,15:09,tarde,22.6541,24.14,1354,7.0,9,Depositado,16.028379336312813
2025-05-22,16:24,tarde,21.909,23.59,1363,7.0,9,Depositado,16.165532668630263
2025-05-22,17:47,tarde,22.1625,22.25,1554,8.0,15,Depositado,16.396504204036336
2025-05-22,18:04,tarde,21.8372,22.84,1452,7.0,9,Depositado,15.690546125293288
2025-05-22,19:07,tarde,22.4903,23.46,1254,4.5,1,Depositado,16.533258343664066
2025-05-22,20:43,tarde,21.2617,22.76,1422,7.0,9,Depositado,15.511978050119374
2025-05-22,21:05,tarde,21.1074,18.74,1655,5.5,1,Depositado,15.962053726241104
2025-05-22,22:41,tarde,21.2661,20.22,1547,6.0,3,Depositado,16.147079301621144
2025-05-22,22:48,noche,20.5053,19.36,1702,7.5,8,Depositado,16.07024796693376
2025-05-22,23:57,noche,20.9269,19.25,1634,6.0,2,Depositado,15.844325120044852
2025-05-22,00:32,noche,19.5991,18.83,1710,7.5,6,Depositado,15.94796943741068
2025-05-22,01:31,noche,20.6451,19.78,1649,7.0,6,Depositado,15.876749766335292
2025-05-22,02:50,noche,19.7154,17.17,1879,7.5,5,Depositado,15.852658810763947
2025-05-22,03:31,noche,20.6402,18.19,1730,6.0,0,Depositado,16.212400524255255
2025-05-22,04:46,noche,20.5226,16.56,1919,7.0,3,Depositado,16.089253871491263
2025-05-22,05:47,noche,20.7104,16.16,1910,6.5,0,Depositado,15.826772601184837
2025-05-22,06:00,noche,20.0398,17.88,1776,6.5,2,Depositado,16.224899968858313
2025-05-23,06:28,mañana,20.3021,16.8,1904,7.0,4,Depositado,16.076824880219153
2025-05-23,07:43,mañana,21.2259,16.47,2006,8.0,7,Depositado,16.20321552970974
2025-05-23,08:51,mañana,19.9375,18.57,1690,5.5,1,Depositado,16.157407210480905
2025-05-23,09:27,mañana,20.0289,19.16,1642,6.0,1,Depositado,15.792751247269482
2025-05-23,10:10,mañana,20.1887,19.2,1725,8.0,7,Depositado,15.859954739950757
2025-05-23,11:44,mañana,20.3163,22.08,1392,5.5,2,Depositado,16.186823401280815
